Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
EHAM,Schiphol,Netherlands,Amsterdam,EGKK,Gatwick,United Kingdom,London,00:53:06,N739PM,BOEING B739,365.7 Km
EDRZ,Zweibrucken,Germany,Zweibrucken,EDDR,Saarbrucken,Germany,Saarbrucken,00:07:20,N71FS,BEECH BE58,21.2 Km
2TE5,Piano Ranch,United States,Flatonia,KVCT,Victoria Regl,United States,Victoria,00:35:53,N760PL,Cessna C172,97.8 Km
KVCT,Victoria Regl,United States,Victoria,2TE5,Piano Ranch,United States,Flatonia,00:21:23,N71FS,BEECH BE58,96.4 Km
KVCT,Victoria Regl,United States,Victoria,2TE5,Piano Ranch,United States,Flatonia,00:20:53,N71FS,BEECH BE58,96.4 Km
EGLC,London City,United Kingdom,London,EGSG,Stapleford,United Kingdom,Stapleford,00:06:58,N71FS,BEECH BE58,18.1 Km
EGKK,Gatwick,United Kingdom,London,EHAM,Schiphol,Netherlands,Amsterdam,01:16:40,N738PM,BOEING B738,365.7 Km
LFPG,Charles-de-Gaulle,France,Paris,EGKK,Gatwick,United Kingdom,London,00:52:27,N738PM,BOEING B738,308.1 Km
KTOA,Zamperini,United States,Torrance,KAVX,Catalina,United States,Avalon,00:14:21,N72163,MAULE M7,44.8 Km
EGLC,London City,United Kingdom,London,EGSG,Stapleford,United Kingdom,Stapleford,00:07:21,N72163,MAULE M7,18.1 Km
LFAT,Paris-Plage,France,Le Touquet,EGMH,Manston,United Kingdom,Manston,00:27:40,N350KA,BEECH B350,94.2 Km
LFAT,Paris-Plage,France,Le Touquet,EGMH,Manston,United Kingdom,Manston,00:28:47,N350KA,BEECH B350,94.2 Km
LFPG,Charles-de-Gaulle,France,Paris,EGKK,Gatwick,United Kingdom,London,00:53:05,N739PM,BOEING B739,308.1 Km
EGSX,North Weald,United Kingdom,North Weald,EGSG,Stapleford,United Kingdom,Stapleford,00:11:04,N208BC,Cessna C208,7.2 Km
EGSX,North Weald,United Kingdom,North Weald,EGSG,Stapleford,United Kingdom,Stapleford,00:06:05,G-MONN,Cessna C172,7.2 Km
CA35,San Rafael,United States,San Rafael,CYVR,Vancouver Intl,Canada,Vancouver,02:00:50,N738PM,BOEING B738,1243.1 Km
LSGG,Geneva,Switzerland,Geneva,LFML,Marseille-Provence,France,Marseille-Provence,01:11:28,N738PM,BOEING B738,319.3 Km
KSFO,San Francisco Intl,United States,San Francisco,CYVR,Vancouver Intl,Canada,Vancouver,01:57:32,N739PM,BOEING B739,1287.7 Km
LFPG,Charles-de-Gaulle,France,Paris,EGLL,Heathrow,United Kingdom,London,01:40:09,N737X,BOEING B738,348.3 Km
NZWG,Wigram,New Zealand,Christchurch,NZCH,Christchurch Intl,New Zealand,Christchurch,00:05:50,N88D,AGUSTA EH10,7 Km
NZWG,Wigram,New Zealand,Christchurch,NZCH,Christchurch Intl,New Zealand,Christchurch,00:07:24,ZK-GBH,JetRanger helicopter,7 Km
LFAT,Paris-Plage,France,Le Touquet,EGMH,Manston,United Kingdom,Manston,00:29:41,N71FS,BEECH BE58,94.2 Km
