Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
EBBR,Brussels National,Belgium,Brussels,EGLL,Heathrow,United Kingdom,London,00:57:25,C-WLPE,BOEING B763,351.5 Km
CYMX,Montreal Intl (Mirabel),Canada,Montreal,CYYZ,Toronto-Pearson Intl,Canada,Toronto,01:14:23,VH-OGM,BOEING B763,495.9 Km
KCMI,Univ Of Illinois-Willard,United States,Champaign-Urbana,KORD,Chicago-OHare Intl,United States,Chicago,00:48:01,G-BNWH,BOEING B763,217.6 Km
KNQX,Key West NAS,United States,Key West,KMTH,Florida Keys Marathon,United States,Marathon,00:17:54,N887,AGUSTA EH10,66.4 Km
KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,CYVR,Vancouver Intl,Canada,Vancouver,05:07:20,C-WLPE,BOEING B763,3617.8 Km
LFMW,Villeneuve,France,Castelnaudary,LFCK,Castres-Mazamet,France,Castres-Mazamet,00:54:45,N52KA,Cessna C172,70.9 Km
KCLE,Cleveland-Hopkins Intl,United States,Cleveland,KLPR,Lorain Co Regl,United States,Lorain-Elyria,00:58:15,G-BAFM,Cessna C172,28.4 Km
KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,00:05:55,N700MS,Cessna C172,0 Km
KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,KFTY,Fulton Co-Brown,United States,Atlanta,00:39:25,N700MS,Cessna C172,64 Km
LFRF,Granville,France,Granville,LFRF,Granville,France,Granville,00:22:23,G-BAFM,Cessna C172,0 Km
LFCM,Larzac,France,Millau,LFCM,Larzac,France,Millau,00:14:20,N700MS,Cessna C172,0 Km
KRHV,Reid-Hillview,United States,San Jose,KSFO,San Francisco Intl,United States,San Francisco,00:29:44,N700MS,Cessna C172,59.5 Km
KSFO,San Francisco Intl,United States,San Francisco,KTCY,Tracy Mun,United States,Tracy,01:08:24,N700MS,Cessna C172,103 Km
KSFO,San Francisco Intl,United States,San Francisco,KSQL,San Carlos,United States,San Carlos,02:15:16,N700MS,Cessna C172,16.2 Km
KSFO,San Francisco Intl,United States,San Francisco,KHAF,Half Moon Bay,United States,Half Moon Bay,00:10:39,N700MS,Cessna C172,16.1 Km
KMDW,Chicago Midway Intl,United States,Chicago,KORD,Chicago-OHare Intl,United States,Chicago,00:28:26,N700MS,Cessna C172,24.9 Km
O88,Rio Vista Mun,United States,Rio Vista,1O3,Lodi,United States,Lodi,01:53:10,N700MS,Cessna C172,278.8 Km
KMRY,Monterey Peninsula,United States,Monterey,KMRY,Monterey Peninsula,United States,Monterey,00:05:16,N48550,Grumman G21,0 Km
KNUQ,Moffett Federal AFLD,United States,Mountain View,KSJC,Mineta San Jose Intl,United States,San Jose,00:14:22,N700MS,Cessna C172,12.1 Km
KSBP,San Luis Obispo Co Regl,United States,San Luis Obispo,KSMX,Santa Maria Pub-Capt Hancock,United States,Santa Maria,00:23:48,N71FS,BEECH BE58,42.2 Km
SPRF,San Rafael,Peru,San Rafael,SPRF,San Rafael,Peru,San Rafael,00:23:15,N8092U,Robinson R22,0 Km
LOWG,Graz,Austria,Graz,LOWI,Innsbruck,Austria,Innsbruck,01:22:40,N71FS,BEECH BE58,312.1 Km
KCCR,Buchanan,United States,Concord,KTRK,Truckee-Tahoe,United States,Truckee,01:06:00,N71FS,BEECH BE58,222.8 Km
EICK,Cork,Ireland,Cork,EIDW,Dublin Intl,Ireland,Dublin,01:36:29,N123MS,Mooney M20T,348.2 Km
EGLL,Heathrow,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:06:38,C-WLPE,BOEING B763,0 Km
EGLL,Heathrow,United Kingdom,London,LSZH,Zurich,Switzerland,Zurich,01:23:50,C-WLPE,BOEING B763,790.4 Km
EGKK,Gatwick,United Kingdom,London,KBOS,Logan Intl,United States,Boston,06:58:04,C-WLPE,BOEING B763,5283.5 Km
EGLL,Heathrow,United Kingdom,London,LEMD,Barajas,Spain,Madrid,01:59:40,C-WLPE,BOEING B763,1246.3 Km
LTAC,Esenboga,Turkey,Ankara,LTBA,Ataturk,Turkey,Istanbul,01:09:15,C-WLPE,BOEING B763,366.4 Km
MN97,Thens Private Airstrip,United States,St Cloud,KSTC,St Cloud Regl,United States,St Cloud,00:07:28,N700MS,Cessna C172,12.3 Km
EGLA,Bodmin,United Kingdom,Bodmin,EGHD,Plymouth,United Kingdom,Plymouth,00:39:13,N700MS,Cessna C172,40.7 Km
UK11,Rufforth,United Kingdom,York,EGNV,Durham Tees Valley,United Kingdom,Durham Tees Valley,00:52:14,N700MS,Cessna C172,64.4 Km
EGHH,Bournemouth,United Kingdom,Bournemouth,EGHI,Southampton Intl,United Kingdom,Southampton,00:37:17,N68PW,EXTRA E300,39.1 Km
EGKK,Gatwick,United Kingdom,London,EGSG,Stapleford,United Kingdom,Stapleford,00:23:24,N68PW,EXTRA E300,61.4 Km
EGMD,Lydd,United Kingdom,Lydd,EGMH,Manston,United Kingdom,Manston,00:22:38,N123MS,Mooney M20T,51.5 Km
EBBR,Brussels National,Belgium,Brussels,EBBR,Brussels National,Belgium,Brussels,00:16:23,N700MS,Cessna C172,0 Km
FZNC,Rutshuru,Congo (DRC),Rutshuru,FZNR,Rwindi,Congo (DRC),Rwindi,00:31:25,9Q-JWL,Douglas DC3,44.5 Km
CYDB,Burwash,Canada,Burwash,PAYA,Yakutat,United States,Yakutat,00:42:48,N350KA,BEECH B350,210.9 Km
KNQX,Key West NAS,United States,Key West,KMTH,Florida Keys Marathon,United States,Marathon,00:16:04,N887,AGUSTA EH10,66.4 Km
LCRA,Akrotiri AB,Cyprus,Akrotiri,CX00,Kingsfield AB,Cyprus,Kingsfield,00:32:54,N001,BOEING F18,83 Km
EGHN,Sandown,United Kingdom,Isle Of Wight,EGHN,Sandown,United Kingdom,Isle Of Wight,00:10:29,JA-0315,JetRanger helicopter,0 Km
PWAK,Wake I,Wake Island,Wake I,PWAK,Wake I,Wake Island,Wake I,03:24:35,N72163,MAULE M7,0 Km
EBBR,Brussels National,Belgium,Brussels,EGLL,Heathrow,United Kingdom,London,01:58:25,C-WLPE,BOEING B763,351.5 Km
KLAS,McCarran Intl,United States,Las Vegas,KLSV,Nellis AFB,United States,Las Vegas,00:25:59,C-WLPE,BOEING B763,20.3 Km
CYVR,Vancouver Intl,Canada,Vancouver,KSFO,San Francisco Intl,United States,San Francisco,02:13:51,C-WLPE,BOEING B763,1287.7 Km
EGLL,Heathrow,United Kingdom,London,LSZH,Zurich,Switzerland,Zurich,01:15:15,C-WLPE,BOEING B763,790.4 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:02:21,C-WLPE,BOEING B763,348.3 Km
EGGD,Bristol,United Kingdom,Bristol,LFPG,Charles-de-Gaulle,France,Paris,01:30:26,C-WLPE,BOEING B763,459.3 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,00:53:42,C-WLPE,BOEING B763,348.3 Km
EGGD,Bristol,United Kingdom,Bristol,EGLL,Heathrow,United Kingdom,London,00:28:20,C-WLPE,BOEING B763,157.4 Km
EGLL,Heathrow,United Kingdom,London,EGPH,Edinburgh,United Kingdom,Edinburgh,01:18:47,C-WLPE,BOEING B763,533.6 Km
EGLL,Heathrow,United Kingdom,London,EGPH,Edinburgh,United Kingdom,Edinburgh,01:09:06,G-BNWH,BOEING B763,533.6 Km
EGPH,Edinburgh,United Kingdom,Edinburgh,EGLL,Heathrow,United Kingdom,London,01:49:21,G-BNWH,BOEING B763,533.6 Km
RJTT,Tokyo (Haneda) Intl,Japan,Tokyo,RJTT,Tokyo (Haneda) Intl,Japan,Tokyo,00:17:48,JA608J,BOEING B763,0 Km
EGBB,Birmingham,United Kingdom,Birmingham,EICK,Cork,Ireland,Cork,01:13:15,G-BNWH,BOEING B763,466.4 Km
TE68,nuggs Flying M,United States,Pottsboro,11TX,Butler,United States,Sherman,00:11:40,G-BAFM,Cessna C172,13.6 Km
EGPE,Inverness,United Kingdom,Inverness,EGTE,Exeter,United Kingdom,Exeter,01:40:15,G-BNWH,BOEING B763,758.6 Km
EGLL,Heathrow,United Kingdom,London,LEMD,Barajas,Spain,Madrid,03:17:06,G-BNWH,BOEING B763,1246.3 Km
LEMD,Barajas,Spain,Madrid,LFMN,Nice-Cote dAzur,France,Nice-Cote dAzur,01:46:49,G-BNWH,BOEING B763,958.8 Km
KSFO,San Francisco Intl,United States,San Francisco,CYVR,Vancouver Intl,Canada,Vancouver,02:07:49,G-BNWH,BOEING B763,1287.7 Km
KLAX,Los Angeles Intl,United States,Los Angeles,KSAN,San Diego Intl,United States,San Diego,00:41:44,G-BNWH,BOEING B763,175.6 Km
KIAH,George Bush Intercontinental-H,United States,Houston,KMSY,Armstrong New Orleans Intl,United States,New Orleans,01:15:32,G-BNWH,BOEING B763,490.5 Km
ETNW,Wunstorf AB,Germany,Wunstorf,ETHC,Celle Army,Germany,Celle,00:14:08,N123MS,Mooney M20T,44.7 Km
EDDF,Frankfurt-Main,Germany,Frankfurt-Main,EDDM,Munich,Germany,Munich,00:51:01,G-BNWH,BOEING B763,299.7 Km
LGAT,Hellinikon,Greece,Athens,LGAT,Hellinikon,Greece,Athens,00:04:00,N327SW,BOEING B733,0 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:27:41,N158MC,BOEING B735,348.3 Km
EGKK,Gatwick,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:09:05,N327SW,BOEING B733,41.2 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:23:15,N327SW,BOEING B733,348.3 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDN,Nurnberg,Germany,Nurnberg,00:09:30,N71FS,BEECH BE58,0 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDN,Nurnberg,Germany,Nurnberg,00:06:05,N71FS,BEECH BE58,0 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDN,Nurnberg,Germany,Nurnberg,00:12:36,N71FS,BEECH BE58,0 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDN,Nurnberg,Germany,Nurnberg,00:04:53,G-BAFM,Cessna C172,0 Km
EDDM,Munich,Germany,Munich,EDDN,Nurnberg,Germany,Nurnberg,00:32:39,G-BNWH,BOEING B763,137.5 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDN,Nurnberg,Germany,Nurnberg,00:14:41,C-WLPE,BOEING B763,0 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDF,Frankfurt-Main,Germany,Frankfurt-Main,01:52:15,F-MSAB,AIRBUS A321,190.2 Km
EGMH,Manston,United Kingdom,Manston,EGLL,Heathrow,United Kingdom,London,00:23:00,G-BNWH,BOEING B763,126.6 Km
EDDM,Munich,Germany,Munich,EDDM,Munich,Germany,Munich,00:06:00,F-MSAB,AIRBUS A321,0 Km
EDDM,Munich,Germany,Munich,EDDM,Munich,Germany,Munich,00:33:28,F-MSAB,AIRBUS A321,0 Km
EDDM,Munich,Germany,Munich,EDDM,Munich,Germany,Munich,00:05:38,F-MSAB,AIRBUS A321,0 Km
EDDN,Nurnberg,Germany,Nurnberg,EDDM,Munich,Germany,Munich,00:35:15,F-MSAB,AIRBUS A321,137.5 Km
EGCC,Manchester,United Kingdom,Manchester,EHAM,Schiphol,Netherlands,Amsterdam,01:40:25,C-WLPE,BOEING B763,488.3 Km
EGCC,Manchester,United Kingdom,Manchester,EHAM,Schiphol,Netherlands,Amsterdam,01:11:43,C-WLPE,BOEING B763,488.3 Km
EGCC,Manchester,United Kingdom,Manchester,EGNR,Hawarden,United Kingdom,Hawarden,00:30:23,N72163,MAULE M7,57.6 Km
EKCH,Kastrup,Denmark,Copenhagen,EKCH,Kastrup,Denmark,Copenhagen,00:05:05,OY-HMS,AGUSTA EH10,0 Km
EGLL,Heathrow,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:30:02,G-BNWH,BOEING B763,0 Km
EGLL,Heathrow,United Kingdom,London,EGPH,Edinburgh,United Kingdom,Edinburgh,01:25:15,G-BNWH,BOEING B763,533.6 Km
EGLL,Heathrow,United Kingdom,London,EGPH,Edinburgh,United Kingdom,Edinburgh,01:50:24,G-BNWH,BOEING B763,533.6 Km
EGLL,Heathrow,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:08:45,G-BNWH,BOEING B763,0 Km
LFXB,Thenac AB,France,Saintes,LFBG,Chateaubernard AB,France,Cognac,00:17:30,N208EH,Cessna C208,35.7 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:08:02,G-BNWH,BOEING B763,348.3 Km
LOWG,Graz,Austria,Graz,LFMN,Nice-Cote dAzur,France,Nice-Cote dAzur,01:58:32,G-BNWH,BOEING B763,742.7 Km
EGSX,North Weald,United Kingdom,North Weald,EGLC,London City,United Kingdom,London,00:13:07,N86DMA,MAULE M7,25.3 Km
PHTO,Hilo Intl,United States,Hilo,KLAX,Los Angeles Intl,United States,Los Angeles,05:28:11,VH-OGM,BOEING B763,3941.1 Km
PHTO,Hilo Intl,United States,Hilo,PHSF,Bradshaw AAF,United States,Pohakuloa,00:18:05,N71FS,BEECH BE58,53.1 Km
EGLL,Heathrow,United Kingdom,London,EGLL,Heathrow,United Kingdom,London,00:17:30,G-BNWH,BOEING B763,0 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:30:36,G-BNWH,BOEING B763,348.3 Km
LIML,Linate,Italy,Milan,LIML,Linate,Italy,Milan,00:18:56,G-BNWH,BOEING B763,0 Km
KPOF,Poplar Bluff Mun,United States,Poplar Bluff,MO57,Henderson Mounds E B G,United States,East Prairie,00:47:27,G-BAFM,Cessna C172,107.6 Km
9L2,Edwards AF Aux North Base,United States,Edwards,9L2,Edwards AF Aux North Base,United States,Edwards,00:12:34,N099,AGUSTA EH10,0 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:20:56,G-BNWH,BOEING B763,348.3 Km
LFML,Marseille-Provence,France,Marseille-Provence,LFML,Marseille-Provence,France,Marseille-Provence,00:52:08,N737W,BOEING B738,0 Km
LFML,Marseille-Provence,France,Marseille-Provence,LSGG,Geneva,Switzerland,Geneva,01:21:20,N737W,BOEING B738,319.3 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:24:30,G-BNWH,BOEING B763,348.3 Km
EGLL,Heathrow,United Kingdom,London,EGKK,Gatwick,United Kingdom,London,00:41:13,N737W,BOEING B738,41.2 Km
EGKK,Gatwick,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:33:00,C-WLPE,BOEING B763,308.1 Km
KLAS,McCarran Intl,United States,Las Vegas,KPHX,Phoenix Sky Harbor Intl,United States,Phoenix,01:12:52,F-MSAB,AIRBUS A321,410.9 Km
KLAS,McCarran Intl,United States,Las Vegas,KLAS,McCarran Intl,United States,Las Vegas,00:36:57,G-BAFM,Cessna C172,30.4 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:40:30,G-BNWH,BOEING B763,348.3 Km
EGLL,Heathrow,United Kingdom,London,EGWU,Northolt AB,United Kingdom,Northolt,00:15:33,G-BAFM,Cessna C172,9 Km
IS54,McChristy,United States,Stonington,KDEC,Decatur,United States,Decatur,00:23:59,N71FS,BEECH BE58,32 Km
SBJF,Francisco De Assis,Brazil,Juiz De Fora,SBJF,Francisco De Assis,Brazil,Juiz De Fora,00:22:30,NCRJ70,BOMBARDIER CRJ700,0 Km
KACK,Nantucket Meml,United States,Nantucket,KMVY,Marthas Vineyard,United States,Vineyard Haven,00:32:32,N700MS,Cessna C172,48.9 Km
KACK,Nantucket Meml,United States,Nantucket,KMVY,Marthas Vineyard,United States,Vineyard Haven,00:43:10,G-BAFM,Cessna C172,48.9 Km
EGPD,Dyce,United Kingdom,Aberdeen,EGPE,Inverness,United Kingdom,Inverness,01:02:17,N72163,MAULE M7,134.8 Km
EGQS,Lossiemouth AB,United Kingdom,Lossiemouth,EGPE,Inverness,United Kingdom,Inverness,00:33:13,N72163,MAULE M7,61.6 Km
ELLX,Luxembourg,Luxembourg,Luxembourg,EHEH,Eindhoven AB,Netherlands,Eindhoven,00:51:36,JA-068X,BOMBARDIER LJ45,211.5 Km
LFPB,Le Bourget,France,Paris,LFPV,Velizy AB,France,Villacoublay,00:23:40,N123MS,Mooney M20T,64.7 Km
LFPB,Le Bourget,France,Paris,LFPB,Le Bourget,France,Paris,00:19:42,N123MS,Mooney M20T,0 Km
KLAS,McCarran Intl,United States,Las Vegas,KPHX,Phoenix Sky Harbor Intl,United States,Phoenix,01:18:40,N737W,BOEING B738,410.9 Km
SSFB,Francisco Beltrao,Brazil,Francisco Beltrao,SSFB,Francisco Beltrao,Brazil,Francisco Beltrao,00:09:53,N350KA,BEECH B350,0 Km
EGAA,Aldergrove,United Kingdom,Belfast,EGFF,Cardiff,United Kingdom,Cardiff,01:28:06,F-MSAB,AIRBUS A321,410.8 Km
KSFO,San Francisco Intl,United States,San Francisco,KOAK,Metro Oakland Intl,United States,Oakland,00:10:41,N71FS,BEECH BE58,17.7 Km
KLAS,McCarran Intl,United States,Las Vegas,KPHX,Phoenix Sky Harbor Intl,United States,Phoenix,01:27:34,G-BNWH,BOEING B763,410.9 Km
EDKB,Hangelar,Germany,Bonn,EDDK,Cologne-Bonn,Germany,Cologne-Bonn,00:16:30,N123MS,Mooney M20T,10.9 Km
O44,McCaslin,United States,Lexington,O44,McCaslin,United States,Lexington,00:09:18,N71FS,BEECH BE58,0 Km
EHLE,Lelystad,Netherlands,Lelystad,EHHV,Hilversum,Netherlands,Hilversum,00:07:23,N9766Z,deHavilland DHC2,39.5 Km
KOXC,Waterbury-Oxford,United States,Oxford,KMMK,Meriden Markham Mun,United States,Meriden,00:14:03,N72163,MAULE M7,25.8 Km
23MT,Waterfall,United States,Bozeman,KBZN,Gallatin,United States,Bozeman,00:15:17,N72163,MAULE M7,16 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGKB,Biggin Hill,United Kingdom,Biggin Hill,00:19:06,N68PW,EXTRA E300,37.1 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,00:19:34,N68PW,EXTRA E300,14.4 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,00:04:06,N68PW,EXTRA E300,0 Km
DNMM,Murtala Muhammed,Nigeria,Lagos,DGAA,Kotoka Intl,Ghana,Accra,01:09:31,JA-068X,BOMBARDIER LJ45,401 Km
EGHH,Bournemouth,United Kingdom,Bournemouth,EGDY,Yeovilton,United Kingdom,Yeovilton,00:20:47,N71FS,BEECH BE58,61.6 Km
EGKK,Gatwick,United Kingdom,London,EGKK,Gatwick,United Kingdom,London,00:04:54,,BOEING B752,0 Km
EGCC,Manchester,United Kingdom,Manchester,EGCC,Manchester,United Kingdom,Manchester,00:12:30,,BOEING B752,0 Km
EGKK,Gatwick,United Kingdom,London,EGHD,Plymouth,United Kingdom,Plymouth,01:01:01,,BOEING B752,287.6 Km
EGGP,Liverpool,United Kingdom,Liverpool,EGNB,Brough,United Kingdom,Brough,00:41:34,N123MS,Mooney M20T,160.1 Km
EGMC,Southend,United Kingdom,Southend,EGSG,Stapleford,United Kingdom,Stapleford,00:21:38,N123MS,Mooney M20T,38.6 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGKB,Biggin Hill,United Kingdom,Biggin Hill,00:28:36,G-BAFM,Cessna C172,37.1 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLS,Old Sarum,United Kingdom,Old Sarum,01:14:23,N123MS,Mooney M20T,205.2 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGDX,St Athan AB,United Kingdom,St Athan,01:26:08,N123MS,Mooney M20T,250.7 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSC,Cambridge,United Kingdom,Cambridge,00:38:30,N123MS,Mooney M20T,61.2 Km
EGCC,Manchester,United Kingdom,Manchester,EGPF,Glasgow,United Kingdom,Glasgow,01:15:26,,BOEING B752,313 Km
YMML,Melbourne Intl,Australia,Melbourne,NZWN,Wellington Intl,New Zealand,Wellington,03:57:04,G-BNWH,BOEING B763,2595.6 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,01:17:38,G-BNWH,BOEING B763,348.3 Km
EGLL,Heathrow,United Kingdom,London,LFPG,Charles-de-Gaulle,France,Paris,00:57:09,C-WLPE,BOEING B763,348.3 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLG,Panshanger,United Kingdom,Panshanger,00:18:43,N123MS,Mooney M20T,27.3 Km
EGNT,Newcastle,United Kingdom,Newcastle,EGNT,Newcastle,United Kingdom,Newcastle,00:46:23,N1000B,Mooney M20T,0 Km
KIKK,Greater Kankakee,United States,Kankakee,KIKK,Greater Kankakee,United States,Kankakee,00:07:25,G-BAFM,Cessna C172,0 Km
KTYQ,Indianapolis Executive,United States,Indianapolis,KIKK,Greater Kankakee,United States,Kankakee,01:27:11,G-BAFM,Cessna C172,177.8 Km
NZWN,Wellington Intl,New Zealand,Wellington,NZPM,Palmerston North,New Zealand,Palmerston North,00:32:59,N350KA,BEECH B350,131.1 Km
EGDX,St Athan AB,United Kingdom,St Athan,EGTG,Filton,United Kingdom,Bristol,00:26:18,G-BAFM,Cessna C172,60.4 Km
VHHH,Hong Kong Intl,Hong Kong SAR,Hong Kong,VHHH,Hong Kong Intl,Hong Kong SAR,Hong Kong,00:09:52,N747K,BOEING B744,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,KBFI,Boeing Field-King Co Intl,United States,Seattle,01:24:10,C-WLPE,BOEING B763,196.3 Km
KVUO,Pearson,United States,Vancouver,KTTD,Portland-Troutdale,United States,Portland,00:10:44,N68PW,EXTRA E300,30.2 Km
EDFM,Mannheim City,Germany,Mannheim,EDDF,Frankfurt-Main,Germany,Frankfurt-Main,00:24:06,,BOEING B752,62.5 Km
EGHE,St Marys,United Kingdom,Scilly Isles,EGDR,Culdrose Navy,United Kingdom,Culdrose,00:13:32,N68PW,EXTRA E300,76.9 Km
EGFA,Aberporth,United Kingdom,Aberporth,EGOV,Valley AB,United Kingdom,Valley,00:36:46,N350KA,BEECH B350,146.8 Km
EGCW,Welshpool,United Kingdom,Welshpool,EGOS,Shawbury AB,United Kingdom,Shawbury,00:16:37,N68PW,EXTRA E300,37.7 Km
EGBE,Coventry,United Kingdom,Coventry,EGLL,Heathrow,United Kingdom,London,00:48:48,G-BNWH,BOEING B763,121.5 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGTR,Elstree,United Kingdom,Elstree,00:16:18,G-BAFM,Cessna C172,33.4 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,01:12:00,G-BAFM,Cessna C172,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSS,Stansted,United Kingdom,London,00:19:07,G-BAFM,Cessna C172,26.1 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGMA,Fowlmere,United Kingdom,Fowlmere,00:25:40,G-BAFM,Cessna C172,53.7 Km
EGPB,Sumburgh,United Kingdom,Sumburgh,EGPM,Scatsta,United Kingdom,Scatsta,00:30:27,HB-MES,Cessna C172,62 Km
EGPH,Edinburgh,United Kingdom,Edinburgh,EGPH,Edinburgh,United Kingdom,Edinburgh,00:19:40,G-BAFM,Cessna C172,0 Km
EGOX,Kirkbride,United Kingdom,Kirkbride,LFOC,Chateaudun AB,France,Chateaudun,05:26:49,G-BAFM,Cessna C172,1015.6 Km
EGXH,Honington,United Kingdom,Honington,EGUW,Wattisham Army,United Kingdom,Wattisham,00:30:25,G-BAFM,Cessna C172,70.4 Km
EGJA,Alderney,United Kingdom,Alderney,EGJB,Guernsey,United Kingdom,Guernsey,00:25:07,G-BAFM,Cessna C172,41.2 Km
EGPN,Dundee,United Kingdom,Dundee,EG0A,Crail,United Kingdom,Crail,00:19:57,G-BAFM,Cessna C172,32.6 Km
EGUB,Benson AB,United Kingdom,Benson,EGTB,Booker,United Kingdom,Wycombe Air Park,00:33:52,G-BAFM,Cessna C172,79.9 Km
EGKK,Gatwick,United Kingdom,London,LPMA,Madeira,Portugal,Madeira,03:33:06,F-GHGI,BOEING B763,2456.1 Km
LPMA,Madeira,Portugal,Madeira,LPPS,Porto Santo,Portugal,Porto Santo,00:27:45,G-BAFM,Cessna C172,57.2 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSN,Bourn,United Kingdom,Bourn,00:44:08,G-BAFM,Cessna C172,63.9 Km
CEA5,Hardisty,Canada,Hardisty,CEA5,Hardisty,Canada,Hardisty,00:04:04,G-BAFM,Cessna C172,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,00:05:33,G-BAFM,Cessna C172,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGLC,London City,United Kingdom,London,00:11:41,G-BAFM,Cessna C172,18.1 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSX,North Weald,United Kingdom,North Weald,00:05:05,G-BAFM,Cessna C172,7.2 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSX,North Weald,United Kingdom,North Weald,00:09:40,G-BAFM,Cessna C172,7.2 Km
EGLC,London City,United Kingdom,London,EGLC,London City,United Kingdom,London,00:11:48,N71FS,BEECH BE58,0 Km
RJAA,Narita Intl,Japan,Tokyo,RJST,Matsushima Aero,Japan,Matsushima,00:44:44,JA-068X,BOMBARDIER LJ45,301.9 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGDD,Bicester Airfield,United Kingdom,Bicester,00:25:52,N71FS,BEECH BE58,93.6 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGMC,Southend,United Kingdom,Southend,00:21:32,G-BAFM,Cessna C172,38.6 Km
KPWT,Bremerton Natl,United States,Bremerton,KPWT,Bremerton Natl,United States,Bremerton,00:10:40,N760PL,Cessna C172,0 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGUO,Colerne,United Kingdom,Colerne,01:34:40,G-BAFM,Cessna C172,174.5 Km
EGNM,Leeds Bradford,United Kingdom,Leeds Bradford,EGNM,Leeds Bradford,United Kingdom,Leeds Bradford,00:13:20,G-BAFM,Cessna C172,0 Km
EGNM,Leeds Bradford,United Kingdom,Leeds Bradford,EGXU,Linton-On-Ouse AB,United Kingdom,Linton-On-Ouse,00:51:37,G-BAFM,Cessna C172,66.3 Km
EGBJ,Gloucestershire,United Kingdom,Gloucestershire,EGTW,Oaksey Park,United Kingdom,Oaksey Park,00:18:08,G-BAFM,Cessna C172,31.4 Km
EGVA,Fairford,United Kingdom,Fairford,EGVP,Middle Wallop Army,United Kingdom,Middle Wallop,00:33:43,G-BAFM,Cessna C172,84 Km
EGSG,Stapleford,United Kingdom,Stapleford,EGSG,Stapleford,United Kingdom,Stapleford,00:23:19,G-BAFM,Cessna C172,0 Km
EGVA,Fairford,United Kingdom,Fairford,EGUB,Benson AB,United Kingdom,Benson,00:23:36,G-BAFM,Cessna C172,48.7 Km
9L2,Edwards AF Aux North Base,United States,Edwards,KEDW,Edwards AFB,United States,Edwards,00:19:32,N099,AGUSTA EH10,8.8 Km
KLGA,La Guardia,United States,New York,KORD,Chicago-OHare Intl,United States,Chicago,02:17:04,G-BNWH,BOEING B763,1180 Km
EGPR,Barra,United Kingdom,Barra,EGPO,Stornoway,United Kingdom,Stornoway,00:55:00,G-BAFM,Cessna C172,151.6 Km
